Acheteur,Achats
Acheteur_01,"Affiche n°10, Autocollants Foix, Biscuiterie artisanale, Carnet de notes Foix, Carte postale n°1, Marque-page Château, Plan de la ville de Foix, Set de table Château de Foix, Tablier Foix, Thé souvenir Foix, Torchon Château, Vin du Couserans"
Acheteur_02,"Autocollants Foix, Biscuiterie artisanale, Livre Légendes Ariégeoises, Marque-page Château, Plaid Ariège, Poncho de pluie Foix, Porte-clés Château, Set de table Château de Foix, Tasse Château de Foix"
Acheteur_03,"BD Château de Foix, Carte postale n°2, Décapsuleur Foix, Guide touristique Foix, Stylo Foix, Tablier Foix"
Acheteur_04,"Bougie artisanale Pyrénées, CD Musiques traditionnelles Ariège, Coffret dégustation Ariège, Crème châtaigne locale, DVD Documentaire Ariège, Livre Histoire de Foix, Porte-clés Château, Porte-monnaie Foix, Sirop artisanal framboise, Tisane des montagnes"
Acheteur_05,"Affiche vintage Foix, Autocollants Foix, Biscuiterie artisanale, Bougie artisanale Pyrénées, CD Musiques traditionnelles Ariège, Coffret dégustation Ariège, Confiture artisanale myrtille, Guide touristique Foix, Liqueur locale, Marque-page Château, Tour de cou Foix"
Acheteur_06,"Affiche vintage Foix, Carnet de notes Foix, Carte postale n°3, Confiture artisanale myrtille, Jeu de cartes Foix, Marque-page Château, Tisane des montagnes, Tour de cou Foix"
Acheteur_07,"Aimant panorama Ariège, Biscuiterie artisanale, Carte postale n°1, Chaussettes Foix, T-shirt Foix, Tasse Château de Foix, Torchon Château, Tote bag Foix, Écusson brodé Foix"
Acheteur_08,"Autocollants Foix, Calendrier Foix, Mini-figurine Château, Porte-monnaie Foix"
Acheteur_09,"Carnet de notes Foix, Carte topographique Ariège 1:25000, Miel des Pyrénées, Stylo Foix, Thé souvenir Foix, Vin du Couserans"
Acheteur_10,"Affiche n°7, Biscuiterie artisanale, Bougie artisanale Pyrénées, Calendrier Foix, Carte postale n°1, Livre Légendes Ariégeoises, Vin du Couserans"
Acheteur_11,"BD Château de Foix, CD Musiques traditionnelles Ariège, Chocolat artisanal Ariège, Confiture artisanale myrtille, Miel des Pyrénées, Opinel gravé Foix, Parapluie Foix, Plan de la ville de Foix, Porte-clés Château, Thé souvenir Foix, Tisane des montagnes, Écharpe Foix"
Acheteur_12,"Affiche n°7, Carte postale n°2, Chaussettes Foix, Chocolat artisanal Ariège, Jeu de cartes Foix, Marque-page Château, Opinel gravé Foix, Plan de la ville de Foix, Tablier Foix, Tasse Château de Foix, Tisane des montagnes, Torchon Château"
Acheteur_13,"Affiche n°9, CD Musiques traditionnelles Ariège, Carte postale n°2, Casquette Foix, Coffret dégustation Ariège, Guide touristique Foix, Porte-monnaie Foix, Puzzle Château 500 pièces, Savon artisanal, Tasse Château de Foix, Torchon Château"
Acheteur_14,"Bougie artisanale Pyrénées, Magnet Château, Plaid Ariège, Plan de la ville de Foix, Porte-clés Château, Porte-monnaie Foix, Set de table Château de Foix, Tasse Château de Foix, Torchon Château"
Acheteur_15,"Carte des sentiers Ariège, Carte topographique Ariège 1:25000, Chocolat artisanal Ariège, Confiture artisanale myrtille, Couteau pliant souvenir, Miel des Pyrénées, Tisane des montagnes"
Acheteur_16,"Autocollants Foix, Bougie artisanale Pyrénées, Calendrier Foix, Casquette Foix, Couteau pliant souvenir, Crème châtaigne locale, Poncho de pluie Foix, Sirop artisanal framboise"
Acheteur_17,"Biscuiterie artisanale, Patch thermocollant Château, Porte-clés Château, Set de table Château de Foix, Tablier Foix, Tasse Château de Foix"
Acheteur_18,"Affiche n°10, Aimant panorama Ariège, Carte postale n°1, Chocolat artisanal Ariège, Coffret dégustation Ariège, Marque-page Château, Porte-clés Château, Sirop artisanal framboise, T-shirt Foix, Tisane des montagnes"
Acheteur_19,"Affiche n°8, Carte postale n°1, Carte postale n°3, Couteau pliant souvenir, Crème châtaigne locale, Décapsuleur Foix, Guide touristique Foix, Magnet Château, Parapluie Foix, Sac à dos léger Foix, Tablier Foix"
Acheteur_20,"Crème châtaigne locale, Jeu de cartes Foix, Poncho de pluie Foix, Vin du Couserans"
Acheteur_21,"Affiche n°10, Carnet de notes Foix, Carte postale n°3, Chocolat artisanal Ariège, Coffret dégustation Ariège, Confiture artisanale myrtille, Porte-clés Château, Thé souvenir Foix, Tour de cou Foix"
Acheteur_22,"Affiche n°5, Calendrier Foix, Carnet de notes Foix, Carte des sentiers Ariège, Carte postale n°2, Coffret dégustation Ariège, Confiture artisanale myrtille, Fromage local affiné, Mini-figurine Château, Sac à dos léger Foix, Tisane des montagnes, Tote bag Foix"
Acheteur_23,"Carte topographique Ariège 1:25000, Couteau pliant souvenir, Crème châtaigne locale, Gourde Foix, Miel des Pyrénées, Mini-figurine Château, Sirop artisanal framboise, Thé souvenir Foix, Écharpe Foix"
Acheteur_24,"Liqueur locale, Magnet Château, Thé souvenir Foix, Tisane des montagnes, Tote bag Foix, Écusson brodé Foix"
Acheteur_25,"BD Château de Foix, Opinel gravé Foix, Porte-clés Château"
Acheteur_26,"Aimant panorama Ariège, BD Château de Foix, Carnet de notes Foix, Livre Histoire de Foix, Livre Légendes Ariégeoises, Plan de la ville de Foix, Porte-monnaie Foix"
Acheteur_27,"Couteau pliant souvenir, Fromage local affiné, Livre Histoire de Foix, Livre Légendes Ariégeoises, Miel des Pyrénées, Poster panorama Ariège, Sirop artisanal framboise, Stylo Foix, Tisane des montagnes, Écusson brodé Foix"
Acheteur_28,"Affiche n°6, Carte postale n°3, Chocolat artisanal Ariège, Porte-clés Château, Tour de cou Foix, Écusson brodé Foix"
Acheteur_29,"Fromage local affiné, Jeu de cartes Foix, Magnet Château, Porte-clés Château, Puzzle Château 500 pièces"
Acheteur_30,"Coffret dégustation Ariège, Confiture artisanale myrtille, Gourde Foix, Jeu de cartes Foix, Poncho de pluie Foix, Sirop artisanal framboise, Thé souvenir Foix, Torchon Château"
Acheteur_31,"Guide touristique Foix, Plan de la ville de Foix, Porte-monnaie Foix, Stylo Foix"
Acheteur_32,"BD Château de Foix, Fromage local affiné, Gourde Foix, Marque-page Château"
Acheteur_33,"CD Musiques traditionnelles Ariège, Opinel gravé Foix, Set de table Château de Foix, Stylo Foix, Tablier Foix, Tasse Château de Foix"
Acheteur_34,"CD Musiques traditionnelles Ariège, Chaussettes Foix, Chocolat artisanal Ariège, Confiture artisanale myrtille, Marque-page Château, Miel des Pyrénées, Patch thermocollant Château, Set de table Château de Foix, Sirop artisanal framboise, Stylo Foix, T-shirt Foix, Tasse Château de Foix, Vin du Couserans"
Acheteur_35,"Bougie artisanale Pyrénées, Carte topographique Ariège 1:25000, Casquette Foix, Miel des Pyrénées, Parapluie Foix, T-shirt Foix, Vin du Couserans"
Acheteur_36,"Carnet de notes Foix, Carte postale n°1, Carte postale n°2, Couteau pliant souvenir, Décapsuleur Foix, Fromage local affiné, Guide touristique Foix, Opinel gravé Foix, T-shirt Foix"
Acheteur_37,"Carnet de notes Foix, Coffret dégustation Ariège, Confiture artisanale myrtille, DVD Documentaire Ariège, Miel des Pyrénées, Thé souvenir Foix"
Acheteur_38,"Patch thermocollant Château, Porte-monnaie Foix, Sac à dos léger Foix, Savon artisanal, Set de table Château de Foix, Thé souvenir Foix, Écharpe Foix"
Acheteur_39,"Affiche n°4, Aimant panorama Ariège, Carte postale n°2, Crème châtaigne locale, Porte-monnaie Foix, Tour de cou Foix"
Acheteur_40,"Chaussettes Foix, Coffret dégustation Ariège, Décapsuleur Foix, Magnet Château, Marque-page Château, Porte-clés Château, Porte-monnaie Foix"
Acheteur_41,"Guide touristique Foix, Livre Légendes Ariégeoises, Savon artisanal, Stylo Foix, T-shirt Foix"
Acheteur_42,"BD Château de Foix, Marque-page Château, Parapluie Foix, Tisane des montagnes, Écharpe Foix, Écusson brodé Foix"
Acheteur_43,"Marque-page Château, Parapluie Foix, Porte-clés Château, Sirop artisanal framboise, Tasse Château de Foix"
Acheteur_44,"Casquette Foix, Coffret dégustation Ariège, Couteau pliant souvenir, Plan de la ville de Foix, Puzzle Château 500 pièces, Set de table Château de Foix, Tablier Foix, Thé souvenir Foix, Tisane des montagnes, Torchon Château, Écusson brodé Foix"
Acheteur_45,"Calendrier Foix, Casquette Foix, DVD Documentaire Ariège, Livre Histoire de Foix"
Acheteur_46,"Casquette Foix, Fromage local affiné, Gourde Foix"
Acheteur_47,"Autocollants Foix, BD Château de Foix, Coffret dégustation Ariège, Liqueur locale, Marque-page Château, Opinel gravé Foix, Poncho de pluie Foix, Thé souvenir Foix, Tour de cou Foix, Écusson brodé Foix"
Acheteur_48,"Aimant panorama Ariège, Autocollants Foix, CD Musiques traditionnelles Ariège, Chocolat artisanal Ariège, Couteau pliant souvenir, DVD Documentaire Ariège, Liqueur locale, Magnet Château, Patch thermocollant Château, Sirop artisanal framboise"
Acheteur_49,"Chaussettes Foix, DVD Documentaire Ariège, Magnet Château, Porte-clés Château, Sac à dos léger Foix, Tablier Foix, Tour de cou Foix"
Acheteur_50,"Biscuiterie artisanale, Carte postale n°2, Chaussettes Foix, Coffret dégustation Ariège, Guide touristique Foix, Parapluie Foix, Plaid Ariège, Porte-clés Château, Porte-monnaie Foix, Savon artisanal"
Acheteur_51,"Carte topographique Ariège 1:25000, Couteau pliant souvenir, Plaid Ariège, Poster panorama Ariège, Tour de cou Foix, Vin du Couserans"
Acheteur_52,"Aimant panorama Ariège, Carte postale n°1, Carte postale n°2, Carte topographique Ariège 1:25000, DVD Documentaire Ariège, Parapluie Foix, Poncho de pluie Foix, Puzzle Château 500 pièces, Tisane des montagnes"
Acheteur_53,"CD Musiques traditionnelles Ariège, Carnet de notes Foix, Chocolat artisanal Ariège, Magnet Château, Marque-page Château, Miel des Pyrénées, Set de table Château de Foix, Sirop artisanal framboise, Torchon Château"
Acheteur_54,"Affiche vintage Foix, Aimant panorama Ariège, Biscuiterie artisanale, Liqueur locale, Marque-page Château, Miel des Pyrénées"
Acheteur_55,"Affiche vintage Foix, Carte postale n°3, Fromage local affiné, Marque-page Château, Sac à dos léger Foix, Torchon Château, Tote bag Foix"
Acheteur_56,"Affiche n°10, Affiche vintage Foix, Carte postale n°1, Chocolat artisanal Ariège, Miel des Pyrénées, Set de table Château de Foix, Tablier Foix, Thé souvenir Foix, Torchon Château"
Acheteur_57,"Chocolat artisanal Ariège, Confiture artisanale myrtille, DVD Documentaire Ariège, Marque-page Château, Miel des Pyrénées, Porte-monnaie Foix, Tisane des montagnes, Torchon Château, Tour de cou Foix, Vin du Couserans"
Acheteur_58,"Chocolat artisanal Ariège, Marque-page Château, Patch thermocollant Château, Porte-clés Château, Tour de cou Foix, Écusson brodé Foix"
Acheteur_59,"Aimant panorama Ariège, Biscuiterie artisanale, Décapsuleur Foix, Jeu de cartes Foix, Set de table Château de Foix, Thé souvenir Foix, Tote bag Foix"
Acheteur_60,"Carnet de notes Foix, Carte des sentiers Ariège, Couteau pliant souvenir, Porte-monnaie Foix, Vin du Couserans"
Acheteur_61,"BD Château de Foix, Bougie artisanale Pyrénées, Chaussettes Foix, Coffret dégustation Ariège, Confiture artisanale myrtille, Liqueur locale, Marque-page Château, Sirop artisanal framboise, Stylo Foix, Thé souvenir Foix"
Acheteur_62,"Affiche n°4, Affiche vintage Foix, Calendrier Foix, Carte postale n°2, Crème châtaigne locale, Liqueur locale, Opinel gravé Foix, Porte-clés Château, Sirop artisanal framboise, Thé souvenir Foix"
Acheteur_63,"Autocollants Foix, Livre Histoire de Foix, Marque-page Château, T-shirt Foix, Écharpe Foix"
Acheteur_64,"Autocollants Foix, Patch thermocollant Château, Porte-clés Château, Porte-monnaie Foix, Puzzle Château 500 pièces"
Acheteur_65,"Affiche n°9, Bougie artisanale Pyrénées, CD Musiques traditionnelles Ariège, Carte postale n°1, Sirop artisanal framboise, Tablier Foix, Torchon Château, Tour de cou Foix"
Acheteur_66,"Aimant panorama Ariège, Livre Légendes Ariégeoises, Marque-page Château, Tablier Foix, Tisane des montagnes, Torchon Château, Écusson brodé Foix"
Acheteur_67,"Affiche vintage Foix, Mini-figurine Château, Patch thermocollant Château, Porte-monnaie Foix, Savon artisanal, Set de table Château de Foix, Tablier Foix, Torchon Château, Écusson brodé Foix"
Acheteur_68,"Carte topographique Ariège 1:25000, Crème châtaigne locale, Magnet Château, Poster panorama Ariège, Set de table Château de Foix, Tasse Château de Foix, Torchon Château"
Acheteur_69,"Biscuiterie artisanale, Calendrier Foix, Gourde Foix, Magnet Château, Mini-figurine Château, Poncho de pluie Foix, Set de table Château de Foix, Tasse Château de Foix, Écharpe Foix"
Acheteur_70,"Carte topographique Ariège 1:25000, Confiture artisanale myrtille, Décapsuleur Foix, Liqueur locale, Patch thermocollant Château, Sirop artisanal framboise, Thé souvenir Foix, Tour de cou Foix"
Acheteur_71,"Chocolat artisanal Ariège, Coffret dégustation Ariège, Jeu de cartes Foix, Liqueur locale, Magnet Château, Plan de la ville de Foix, Porte-clés Château, Thé souvenir Foix"
Acheteur_72,"Autocollants Foix, Biscuiterie artisanale, Bougie artisanale Pyrénées, Casquette Foix, Savon artisanal, Set de table Château de Foix, Tablier Foix, Tasse Château de Foix"
Acheteur_73,"Aimant panorama Ariège, Carte des sentiers Ariège, Chocolat artisanal Ariège, Coffret dégustation Ariège, Gourde Foix, Guide touristique Foix, Livre Histoire de Foix, Mini-figurine Château, Tablier Foix, Tasse Château de Foix, Tisane des montagnes"
Acheteur_74,"CD Musiques traditionnelles Ariège, Livre Histoire de Foix, Miel des Pyrénées, Opinel gravé Foix, Plaid Ariège, Porte-clés Château, Porte-monnaie Foix, Tote bag Foix"
Acheteur_75,"BD Château de Foix, Biscuiterie artisanale, Carte postale n°1, Chocolat artisanal Ariège, DVD Documentaire Ariège, Miel des Pyrénées, Sac à dos léger Foix, Tisane des montagnes, Écharpe Foix"
Acheteur_76,"DVD Documentaire Ariège, Guide touristique Foix, Livre Histoire de Foix, Marque-page Château, Thé souvenir Foix, Tote bag Foix"
Acheteur_77,"Affiche n°6, Autocollants Foix, Carnet de notes Foix, Carte postale n°2, Carte topographique Ariège 1:25000, Confiture artisanale myrtille, Magnet Château, Porte-clés Château, Savon artisanal, Set de table Château de Foix, Tablier Foix, Tasse Château de Foix"
Acheteur_78,"CD Musiques traditionnelles Ariège, Couteau pliant souvenir, Crème châtaigne locale, Jeu de cartes Foix, Livre Légendes Ariégeoises, Marque-page Château, Parapluie Foix, Plaid Ariège, Plan de la ville de Foix, Écharpe Foix"
Acheteur_79,"BD Château de Foix, Casquette Foix, Confiture artisanale myrtille, Livre Histoire de Foix, Miel des Pyrénées, Porte-clés Château, Thé souvenir Foix, Tote bag Foix, Écharpe Foix"
Acheteur_80,"Affiche n°1, Calendrier Foix, Carte postale n°3, Casquette Foix, Coffret dégustation Ariège, Liqueur locale, Marque-page Château, Puzzle Château 500 pièces"
Acheteur_81,"Biscuiterie artisanale, Livre Histoire de Foix, Magnet Château, Opinel gravé Foix, Set de table Château de Foix, Stylo Foix, Tasse Château de Foix, Torchon Château"
Acheteur_82,"Affiche n°1, Autocollants Foix, Carte des sentiers Ariège, Carte postale n°2, Chocolat artisanal Ariège, Livre Légendes Ariégeoises, Marque-page Château, Poncho de pluie Foix, Poster panorama Ariège, Savon artisanal"
Acheteur_83,"Confiture artisanale myrtille, Couteau pliant souvenir, Guide touristique Foix, Patch thermocollant Château, Tablier Foix, Torchon Château, Écusson brodé Foix"
Acheteur_84,"Affiche n°10, Carte postale n°2, Chaussettes Foix, Magnet Château, Plan de la ville de Foix, Stylo Foix, Écusson brodé Foix"
Acheteur_85,"Coffret dégustation Ariège, Couteau pliant souvenir, Jeu de cartes Foix, Sirop artisanal framboise"
Acheteur_86,"Affiche n°9, CD Musiques traditionnelles Ariège, Carte postale n°3, Chocolat artisanal Ariège, Fromage local affiné, Mini-figurine Château, Poncho de pluie Foix, Tote bag Foix"
